beginMol,beginMolConsumer,consumerMol,countMolsInRing,feederMol,intermediateMol,ringMols,ringRels
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '1.007825032', 'smiles_str': '[H]', 'generation_formed': 1}",3,"{'exact_mass': '53.03912516', 'smiles_str': '[CH]=CC=C', 'generation_formed': 6}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '1.007825032', 'smiles_str': '[H]', 'generation_formed': 1}",3,"{'exact_mass': '56.062600255999996', 'smiles_str': 'C=CCC', 'generation_formed': 5}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '1.007825032', 'smiles_str': '[H]', 'generation_formed': 1}",3,"{'exact_mass': '27.023475096', 'smiles_str': '[CH]=C', 'generation_formed': 4}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '2.015650064', 'smiles_str': '[H][H]', 'generation_formed': 3}",3,"{'exact_mass': '53.03912516', 'smiles_str': '[CH]=CC=C', 'generation_formed': 6}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '2.015650064', 'smiles_str': '[H][H]', 'generation_formed': 3}",3,"{'exact_mass': '1.007825032', 'smiles_str': '[H]', 'generation_formed': 1}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '2.015650064', 'smiles_str': '[H][H]', 'generation_formed': 3}",3,"{'exact_mass': '56.062600255999996', 'smiles_str': 'C=CCC', 'generation_formed': 5}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '2.015650064', 'smiles_str': '[H][H]', 'generation_formed': 3}",3,"{'exact_mass': '27.023475096', 'smiles_str': '[CH]=C', 'generation_formed': 4}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '55.054775224', 'smiles_str': '[CH2]CC=C', 'generation_formed': 5}",3,"{'exact_mass': '53.03912516', 'smiles_str': '[CH]=CC=C', 'generation_formed': 6}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '55.054775224', 'smiles_str': '[CH2]CC=C', 'generation_formed': 5}",3,"{'exact_mass': '1.007825032', 'smiles_str': '[H]', 'generation_formed': 1}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
"{'exact_mass': 'Mass of the most abundat', 'smiles_str': '[Md]', 'generation_formed': 1}","{'exact_mass': '66.046950192', 'smiles_str': 'C1CC=CC=1', 'generation_formed': 10}","{'exact_mass': '55.054775224', 'smiles_str': '[CH2]CC=C', 'generation_formed': 5}",3,"{'exact_mass': '56.062600255999996', 'smiles_str': 'C=CCC', 'generation_formed': 5}","{'exact_mass': '54.046950192', 'smiles_str': 'C=CC=C', 'generation_formed': 5}","['[Md]', '[C](C=C)=C', 'C=CC=C']","[{'rxn_id': '487', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}, {'rxn_id': '346', 'rule': ""'Termination  C H'"", 'generation_formed': 11}, {'rxn_id': '477', 'rule': ""'Formacion H2 from alkane'"", 'generation_formed': 11}]"
