Canonical_SMILES,pattern,"(0, 1)","(0, 1, 2)","(1, 2)","(1, 2, 3)","(1, 7)","(1, 7, 6)","(1, 8)","(1, 8, 7)","(2, 1)","(2, 3)","(2, 3, 4)","(2, 6)","(2, 6, 5)","(2, 7)","(2, 7, 6)","(2, 8)","(2, 8, 5)","(3, 2)","(3, 4)","(3, 4, 5)","(4, 3)","(4, 5)","(4, 5, 6)","(4, 6)","(4, 6, 7)","(4, 7)","(4, 7, 8)","(5, 4)","(5, 6)","(5, 6, 7)","(5, 7)","(5, 7, 8)","(5, 8)","(6, 5)","(6, 7)","(7, 6)","(7, 8)","(8, 7)"
CC12CCC(C1)OCN2,CN,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC12CCC(C1)OCN2,CNC,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CCC(C1)OCN2,CO,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
CC12CCC(C1)OCN2,COC,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
CC12CCC(NC1)OC2,CN,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
CC12CCC(NC1)OC2,CNC,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
CC12CCC(NC1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
CC12CCC(NC1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
CC12CCCC1NCO2,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
CC12CCCC1NCO2,CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
CC12CCCC1NCO2,CO,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC12CCCC1NCO2,COC,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CCNC(C1)OC2,CN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CC12CCNC(C1)OC2,CNC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CC12CCNC(C1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CC12CCNC(C1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CC12CCNC1CCO2,CN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CC12CCNC1CCO2,CNC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CC12CCNC1CCO2,CO,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC12CCNC1CCO2,COC,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CCOC(C1)NC2,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CC12CCOC(C1)NC2,CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CC12CCOC(C1)NC2,CO,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CC12CCOC(C1)NC2,COC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CC12CCOC(CN1)C2,CN,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
CC12CCOC(CN1)C2,CNC,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CCOC(CN1)C2,CO,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CC12CCOC(CN1)C2,COC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CC12CNC(COC1)C2,CN,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CC12CNC(COC1)C2,CNC,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CNC(COC1)C2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
CC12CNC(COC1)C2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
CC12CNCC(C1)OC2,CN,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CC12CNCC(C1)OC2,CNC,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CNCC(C1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CC12CNCC(C1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CC12CNCC1CCO2,CN,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CC12CNCC1CCO2,CNC,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12CNCC1CCO2,CO,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC12CNCC1CCO2,COC,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12COCC(CN1)C2,CN,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
CC12COCC(CN1)C2,CNC,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12COCC(CN1)C2,CO,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CC12COCC(CN1)C2,COC,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12NCCC1CCO2,CN,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
CC12NCCC1CCO2,CNC,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC12NCCC1CCO2,CO,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC12NCCC1CCO2,COC,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC12CCC(N1)OC2,CN,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
CCC12CCC(N1)OC2,CNC,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CCC12CCC(N1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CCC12CCC(N1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CCC12CCC(NC1)O2,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
CCC12CCC(NC1)O2,CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
CCC12CCC(NC1)O2,CO,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
CCC12CCC(NC1)O2,COC,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
CCC12CNC(C1)OC2,CN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CCC12CNC(C1)OC2,CNC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CCC12CNC(C1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CCC12CNC(C1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CCC12CNC(CO1)C2,CN,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CCC12CNC(CO1)C2,CNC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CCC12CNC(CO1)C2,CO,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
CCC12CNC(CO1)C2,COC,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
CCC12COC(CN1)C2,CN,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
CCC12COC(CN1)C2,CNC,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
CCC12COC(CN1)C2,CO,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
CCC12COC(CN1)C2,COC,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CNC12CCC(C1)OC2,CN,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC12CCC(C1)OC2,CNC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC12CCC(C1)OC2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
CNC12CCC(C1)OC2,COC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
COC12CCC(C1)NC2,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
COC12CCC(C1)NC2,CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
COC12CCC(C1)NC2,CO,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC12CCC(C1)NC2,COC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
